Age,Income,Salary,Rating,Annual_Income,Customer_Support_Calls,House_Price,Square_Feet,Temperature,City,Product_Type,Location,Diagnosis,Cabin,Embarked,Gender,Target,Price_Target
40.0,9165.0,55361,2.9,,,495310.0,2091,15.1,Dhaka,Unknown,A,,,S,Male,0,280.32
33.0,5522.0,48717,,52868.0,1.0,368695.0,1504,28.3,Chittagong,C,C,Type3,,S,Female,1,314.83
42.0,50589.0,64787,3.1,79526.0,2.0,453606.0,2052,22.0,Sylhet,A,C,Type1,,C,Female,0,252.43
53.0,61289.0,80106,3.6,107581.0,1.0,359753.0,2075,22.7,Rajshahi,C,B,Type2,,S,Female,0,239.21
32.0,1604.0,31872,4.0,89654.0,1.0,228869.0,1248,,Rajshahi,A,C,Type2,,S,Female,0,179.51
32.0,,61725,3.1,64689.0,2.0,311712.0,2497,18.6,Chittagong,A,B,Type3,,S,Male,0,248.02
53.0,2668.0,57598,3.2,81429.0,3.0,323622.0,1559,24.8,Chittagong,C,C,Type3,,S,Female,1,268.01
,38967.0,70070,2.8,68983.0,1.0,206084.0,2045,20.7,Dhaka,C,B,Type2,Cabin_B,C,Female,0,159.01
29.0,,63197,3.5,75197.0,,261561.0,2582,18.0,Khulna,A,A,Type2,Cabin_B,S,Male,0,303.45
,,48720,2.8,,1.0,279423.0,2462,25.4,Dhaka,A,B,Type3,,S,Female,0,214.4
29.0,62603.0,55214,4.0,70891.0,,460561.0,2017,30.0,Dhaka,Unknown,B,Type2,Cabin_C,C,Male,0,240.19
,80905.0,48059,,80302.0,1.0,91925.0,1818,26.1,Rajshahi,C,B,Type1,,S,Female,0,279.89
37.0,20734.0,76140,3.2,50166.0,1.0,420581.0,2473,27.1,Dhaka,C,A,Type1,,C,Male,0,249.63
12.0,84322.0,60319,3.7,49603.0,3.0,206320.0,2337,19.9,Dhaka,A,C,,Cabin_D,Q,Male,0,320.17
14.0,4175.0,88517,3.6,40286.0,3.0,162792.0,1690,14.5,Dhaka,A,A,Type2,Cabin_G,S,Male,0,281.44
,112602.0,59090,5.7,34993.0,1.0,417994.0,1602,30.0,Dhaka,A,A,Type3,,S,Female,1,242.58
22.0,39658.0,49373,3.8,,,373189.0,963,32.8,Dhaka,A,B,Type1,,S,Female,0,93.99
,84994.0,37294,2.7,78986.0,3.0,425451.0,2077,30.2,Dhaka,A,B,Type2,,C,Female,0,299.81
24.0,30103.0,32952,3.4,52680.0,3.0,380070.0,1958,20.8,Rajshahi,A,B,Type3,Cabin_C,S,Female,0,191.02
18.0,51581.0,36237,2.1,87840.0,3.0,505984.0,2568,16.7,Khulna,B,C,Type3,,S,Female,0,292.59
52.0,37369.0,64006,3.4,75867.0,0.0,355872.0,2179,17.2,Dhaka,A,B,Type2,Cabin_B,C,Female,0,274.51
,65761.0,67630,2.8,,0.0,284352.0,2667,14.1,Khulna,C,B,Type1,,S,Male,0,240.06
,4257.0,36282,,91374.0,,334292.0,1651,22.0,Dhaka,A,C,Type1,Cabin_E,S,Female,0,297.66
17.0,3112.0,73425,3.1,95269.0,4.0,424346.0,2569,30.5,Dhaka,B,A,Type1,,C,Female,0,276.05
28.0,14191.0,52754,3.4,50153.0,1.0,222062.0,1735,21.8,Dhaka,A,B,Type1,,S,Male,0,266.42
36.0,8690.0,62201,3.0,85504.0,3.0,234811.0,2388,24.0,Chittagong,B,C,Type1,,C,Male,0,164.18
21.0,102701.0,84183,4.9,53587.0,0.0,269103.0,1270,29.4,Chittagong,A,A,Type2,,C,Female,0,251.99
